# date	slug	source	tvl	bucket	action
2026-04-22	yellow	DefiLlama	110453	Security Risk	seen
2026-04-22	theoriq-gold-vault	DefiLlama	110123	Security Risk	seen
2026-04-22	mycelium-perpetual-swaps	DefiLlama	109702	Security Risk	seen
2026-04-22	cega-v2	DefiLlama	109450	Security Risk	seen
2026-04-22	kokonut-swap	DefiLlama	108956	Security Risk	seen
2026-04-22	minterest	DefiLlama	108607	Security Risk	seen
2026-04-22	treasure-bridge	DefiLlama	108539	Security Risk	seen
2026-04-22	miniswap	DefiLlama	108482	Security Risk	seen
2026-04-22	pingu-exchange	DefiLlama	107488	Security Risk	seen
2026-04-22	revest-finance	DefiLlama	106997	Security Risk	seen
2026-04-22	domani-protocol	DefiLlama	106810	Security Risk	seen
2026-04-22	bullbit-perp-dex	DefiLlama	104892	Security Risk	seen
2026-04-22	mellow-yield	DefiLlama	104785	Security Risk	seen
2026-04-22	swapbased-amm	DefiLlama	104681	Security Risk	seen
2026-04-22	liquis	DefiLlama	103851	Security Risk	seen
2026-04-22	9summits	DefiLlama	102935	Security Risk	seen
2026-04-22	jasper-vault	DefiLlama	102804	Security Risk	seen
2026-04-22	lucidly-finance	DefiLlama	102653	Security Risk	seen
2026-04-22	fufuture-v2	DefiLlama	102313	Security Risk	seen
2026-04-22	unagii	DefiLlama	101958	Security Risk	seen
2026-04-22	stakehouse	DefiLlama	101495	Security Risk	seen
2026-04-22	orion-liquidity-nodes	DefiLlama	101353	Security Risk	seen
2026-04-22	lixir-finance	DefiLlama	99657	Security Risk	seen
2026-04-22	filda	DefiLlama	99333	Security Risk	seen
2026-04-22	impermax-v3	DefiLlama	98183	Security Risk	seen
2026-04-22	lodestar-v1	DefiLlama	97302	Security Risk	seen
2026-04-22	openleverage	DefiLlama	97041	Security Risk	seen
2026-04-22	voltswap-v2	DefiLlama	95994	Security Risk	seen
2026-04-22	fusionx-v3	DefiLlama	95732	Security Risk	seen
2026-04-22	cryptex-pi	DefiLlama	95325	Security Risk	seen
2026-04-22	yieldoor	DefiLlama	95179	Security Risk	seen
2026-04-22	virtus-protocol-cl	DefiLlama	95174	Security Risk	seen
2026-04-22	winnieswap	DefiLlama	94941	Security Risk	seen
2026-04-22	arbera	DefiLlama	94161	Security Risk	seen
2026-04-22	percent-finance	DefiLlama	94073	Security Risk	seen
2026-04-22	liveart	DefiLlama	93875	Security Risk	seen
2026-04-22	olive-network	DefiLlama	93562	Security Risk	seen
2026-04-22	bella-protocol	DefiLlama	91790	Security Risk	seen
2026-04-22	gardens	DefiLlama	91706	Security Risk	seen
2026-04-22	fiat-dao	DefiLlama	90967	Security Risk	seen
2026-04-22	kim-exchange-v2	DefiLlama	90657	Security Risk	seen
2026-04-22	javsphere	DefiLlama	90331	Security Risk	seen
2026-04-22	clip-finance	DefiLlama	89823	Security Risk	seen
2026-04-22	ethichub	DefiLlama	89677	Security Risk	seen
2026-04-22	bakerfi	DefiLlama	89218	Security Risk	seen
2026-04-22	lsp.finance	DefiLlama	88258	Security Risk	seen
2026-04-22	mero	DefiLlama	87653	Security Risk	seen
2026-04-22	infusion	DefiLlama	86835	Security Risk	seen
2026-04-22	bitswap	DefiLlama	86699	Security Risk	seen
2026-04-22	loop	DefiLlama	86481	Security Risk	seen
2026-04-22	big-data-protocol	DefiLlama	86049	Security Risk	seen
2026-04-22	kvants	DefiLlama	85965	Security Risk	seen
2026-04-22	gudchain	DefiLlama	85543	Security Risk	seen
2026-04-22	creamswap	DefiLlama	85388	Security Risk	seen
2026-04-22	geyser	DefiLlama	84428	Security Risk	seen
2026-04-22	zipswap	DefiLlama	84353	Security Risk	seen
2026-04-22	goodentry	DefiLlama	83839	Security Risk	seen
2026-04-22	alchemix	DefiLlama	83796	Security Risk	seen
2026-04-22	yieldflow-ytrade	DefiLlama	83240	Security Risk	seen
2026-04-22	chronos-v1	DefiLlama	82635	Security Risk	seen
2026-04-22	electra	DefiLlama	81959	Security Risk	seen
2026-04-22	xai-bridge	DefiLlama	81583	Security Risk	seen
2026-04-22	sir	DefiLlama	81520	Security Risk	seen
2026-04-22	zamm	DefiLlama	81491	Security Risk	seen
2026-04-22	dfx-v2	DefiLlama	81434	Security Risk	seen
2026-04-22	arche	DefiLlama	81425	Security Risk	seen
2026-04-22	barnbridge	DefiLlama	81187	Security Risk	seen
2026-04-22	sumswap	DefiLlama	80353	Security Risk	seen
2026-04-22	yama-finance	DefiLlama	80191	Security Risk	seen
2026-04-22	rift-finance	DefiLlama	80105	Security Risk	seen
2026-04-22	zomma-protocol	DefiLlama	79871	Security Risk	seen
2026-04-22	snowswap	DefiLlama	79383	Security Risk	seen
2026-04-22	hot-cross	DefiLlama	79370	Security Risk	seen
2026-04-22	nocturne	DefiLlama	77519	Security Risk	seen
2026-04-22	poolshark	DefiLlama	77391	Security Risk	seen
2026-04-22	sturdy-v1	DefiLlama	76697	Security Risk	seen
2026-04-22	fractional-art	DefiLlama	76471	Security Risk	seen
2026-04-22	aloe	DefiLlama	76044	Security Risk	seen
2026-04-22	2thick	DefiLlama	75768	Security Risk	seen
2026-04-22	cybro	DefiLlama	75494	Security Risk	seen
2026-04-22	supra-bridge	DefiLlama	74741	Security Risk	seen
2026-04-22	arbis-finance	DefiLlama	74665	Security Risk	seen
2026-04-22	alienfi	DefiLlama	74635	Security Risk	seen
2026-04-22	stonedefi	DefiLlama	74627	Security Risk	seen
2026-04-22	shibaswap-v2	DefiLlama	74522	Security Risk	seen
2026-04-22	bond-protocol	DefiLlama	74276	Security Risk	seen
2026-04-22	arbinyan	DefiLlama	74138	Security Risk	seen
2026-04-22	benddao-lending	DefiLlama	72927	Security Risk	seen
2026-04-22	cozy-v1	DefiLlama	72285	Security Risk	seen
2026-04-22	umoja-ybtc	DefiLlama	71783	Security Risk	seen
2026-04-22	sorta-finance	DefiLlama	71534	Security Risk	seen
2026-04-22	tprotocol-v1	DefiLlama	71500	Security Risk	seen
2026-04-22	horizondex	DefiLlama	71242	Security Risk	seen
2026-04-22	parallel-lending	DefiLlama	71154	Security Risk	seen
2026-04-22	puff-penthouse	DefiLlama	71060	Security Risk	seen
2026-04-22	nft20	DefiLlama	70722	Security Risk	seen
2026-04-22	sector-finance	DefiLlama	70610	Security Risk	seen
2026-04-22	prime-vaults	DefiLlama	70239	Security Risk	seen
2026-04-22	pepeteam-dex	DefiLlama	70236	Security Risk	seen
2026-04-22	hyperdrive	DefiLlama	69806	Security Risk	seen
2026-04-22	gridex	DefiLlama	69136	Security Risk	seen
2026-04-22	circuit-protocol	DefiLlama	68642	Security Risk	seen
2026-04-22	oreoswap	DefiLlama	68169	Security Risk	seen
2026-04-22	swapbased-concentrated-liquidity	DefiLlama	67820	Security Risk	seen
2026-04-22	kwikswap	DefiLlama	67505	Security Risk	seen
2026-04-22	multichainz	DefiLlama	66216	Security Risk	seen
2026-04-22	e3	DefiLlama	65702	Security Risk	seen
2026-04-22	raindex	DefiLlama	63922	Security Risk	seen
2026-04-22	tradingstrategy	DefiLlama	63390	Security Risk	seen
2026-04-22	solidly-v2	DefiLlama	63027	Security Risk	seen
2026-04-22	amulet-v2	DefiLlama	62864	Security Risk	seen
2026-04-22	mummy-finance	DefiLlama	62755	Security Risk	seen
2026-04-22	cookiebase-farm	DefiLlama	62648	Security Risk	seen
2026-04-22	conic-finance	DefiLlama	62559	Security Risk	seen
2026-04-22	halodao	DefiLlama	61781	Security Risk	seen
2026-04-22	liquid-finance	DefiLlama	61699	Security Risk	seen
2026-04-22	amphor	DefiLlama	61693	Security Risk	seen
2026-04-22	bitbond-sales	DefiLlama	61303	Security Risk	seen
2026-04-22	tinlake	DefiLlama	61294	Security Risk	seen
2026-04-22	swarm-markets	DefiLlama	61226	Security Risk	seen
2026-04-22	finext-finance	DefiLlama	61107	Security Risk	seen
2026-04-22	yusan	DefiLlama	60794	Security Risk	seen
2026-04-22	ordernchaos	DefiLlama	60570	Security Risk	seen
2026-04-22	maxapy	DefiLlama	60410	Security Risk	seen
2026-04-22	governor-dao	DefiLlama	60143	Security Risk	seen
2026-04-22	caviar-v1	DefiLlama	60062	Security Risk	seen
2026-04-22	fan.tech	DefiLlama	60000	Security Risk	seen
2026-04-22	posttechsofi	DefiLlama	59584	Security Risk	seen
2026-04-22	sakeperp	DefiLlama	59415	Security Risk	seen
2026-04-22	primitive	DefiLlama	59198	Security Risk	seen
2026-04-22	bitstable-finance	DefiLlama	58637	Security Risk	seen
2026-04-22	steakhut-liquidity	DefiLlama	57974	Security Risk	seen
2026-04-22	rho-protocol	DefiLlama	57893	Security Risk	seen
2026-04-22	superloop	DefiLlama	57601	Security Risk	seen
2026-04-22	aave-arc	DefiLlama	57254	Security Risk	seen
2026-04-22	9mm-v2	DefiLlama	56776	Security Risk	seen
2026-04-22	restake-finance	DefiLlama	55629	Security Risk	seen
2026-04-22	sobal	DefiLlama	55481	Security Risk	seen
2026-04-22	ape-finance	DefiLlama	55471	Security Risk	seen
2026-04-22	powerpool	DefiLlama	54908	Security Risk	seen
2026-04-22	basex	DefiLlama	54067	Security Risk	seen
2026-04-22	crosschain-bridge	DefiLlama	53772	Security Risk	seen
2026-04-22	thesauros	DefiLlama	52799	Security Risk	seen
2026-04-22	claystack-matic	DefiLlama	52799	Security Risk	seen
2026-04-22	ribbon-lend	DefiLlama	52720	Security Risk	seen
2026-04-22	pawnfi-lending	DefiLlama	52531	Security Risk	seen
2026-04-22	quasar-vaults	DefiLlama	52078	Security Risk	seen
2026-04-22	lybra-v2	DefiLlama	52065	Security Risk	seen
2026-04-22	locus-finance	DefiLlama	51976	Security Risk	seen
2026-04-22	kernel-protocol	DefiLlama	51870	Security Risk	seen
2026-04-22	degenprime	DefiLlama	51758	Security Risk	seen
2026-04-22	unbound	DefiLlama	51354	Security Risk	seen
2026-04-22	flashstake	DefiLlama	50555	Security Risk	seen
2026-04-22	sharwa.finance	DefiLlama	50444	Security Risk	seen


